corp_code,corp_name,corp_eng_name,induty_code,modify_date,recent_audit_rcept_dt,recent_audit_report,recent_audit_rcept_no,revenue_raw
00484044,에이치에스지중공업,"HSG HEAVY INDUSTRIES CO.,LTD.",31114,20260330,20260424,연결감사보고서 (2025.12),20260424000116,
00166546,환영철강공업,"HWAN YOUNG STEEL IND.CO.,LTD.",24121,20260330,,,,
00191524,대주중공업,DAEJOO HEAVY  INDUSTRY CO. LTD,25112,20260330,20260427,연결감사보고서 (2025.12),20260427000505,
02007964,아이더블유오토모티브,IWAUTOMOTIVE,30320,20260423,,,,
02000758,상전정공,SANGJEON,30123,20260409,,,,
00568735,강림중공업,"KANGRIM INDUSTRIES Co., Ltd",31114,20260305,20260428,연결감사보고서 (2025.12),20260428000564,
01135349,현대중공업터보기계,"HYUNDAI HEAVY INDUSTRIES TURBOMACHINERY CO., LTD",29131,20251209,20260330,연결감사보고서 (2025.12),20260330000402,
01856390,헤일로마이크로일렉트로닉스인터내셔널코퍼레이션,HALO MICROELECTRONICS INTERNATIONAL CORPORATION,26112,20250613,,,,
01294369,엠케이메탈,"MKMETAL CO.,LTD",2429,20260424,,,,
00987985,에스제이메탈,SJMETAL CO.LTD,30,20250425,20260410,감사보고서 (2025.12),20260410001805,
02009625,삼성특수브레이크,SamsungBrake Corp.,30392,20260428,,,,
00115001,디엔케이모빌리티,"DNK MOBILITY CO., LTD.",30,20260314,20260429,연결감사보고서 (2025.12),20260429001125,
00215471,원우정밀,"WONWOO PRECISION CO.,LTD.",26211,20260227,20260427,연결감사보고서 (2025.12),20260427000135,
00167341,엘티메탈,"LT Metal Co.,LTD.",2629,20250611,20260331,연결감사보고서 (2025.12),20260331002115,
01911891,한국삼화패킹공업,"Sanwa Packing Industry Korea Co.,Ltd.",25913,20250429,20260402,감사보고서 (2025.12),20260402000122,
00895693,태영정공,TAEYOUNG PRECISION COM.,30,20260223,20260331,감사보고서 (2025.12),20260331003055,
01918432,현대에코,"HYUNDAI ECO., LTD",32021,20250429,20260414,감사보고서 (2025.12),20260414002155,
01950890,수성메탈,Susung metal,46722,20250905,20260407,감사보고서 (2025.12),20260407003411,
02019738,오토복코리아헬스케어,"Ottobock Korea Healthcare Co., Ltd.",27194,20260428,,,,
02008389,(즈)태성자동문,"TAESUNG AUTODOOR CO., LTD.",25111,20260416,,,,
01839986,오피모빌리티에이치투파워코리아,"Plastic Omnium Korea New Energies Co., Ltd",30392,20260430,20260429,감사보고서 (2025.12),20260429000767,
02020318,스마트모빌리티센터,SMART MOBILITY CENTER,31922,20260430,,,,
00210412,한광전기공업,YU JAE KYUN,28123,20260224,20260429,연결감사보고서 (2025.12),20260429000617,
00532943,신한정밀공업,"SINHAN PRECISION IND. CO.,LTD",30,20260219,20260417,연결감사보고서 (2025.12),20260417000689,
01155042,케이지모빌리티커머셜,"KGMOBILITY COMMERCIAL CO.,LTD",30121,20260305,20260327,감사보고서 (2025.12),20260327000793,
01913701,세일정밀,"SEILPRECISION CO.,Ltd",25200,20250428,20260402,감사보고서 (2025.12),20260402002839,
01913826,대광오토텍,"DeaKwang Autotech.co.,Ltd",25913,20250507,20260406,감사보고서 (2025.12),20260406001855,
01922426,캐스팅엔,castingn,46,20250507,20260409,감사보고서 (2025.12),20260409001858,
01932557,명륜기공,MYEONG RYUN,25929,20250527,20260331,감사보고서 (2025.12),20260331000770,
01952436,에이비씨메탈,ABC METAL,46791,20250903,20260414,감사보고서 (2025.12),20260414000451,
01948691,하나정공,"HANA JUNG GONG CO.,LTD.",25924,20250905,20260410,감사보고서 (2025.12),20260410002062,
01925159,세우정밀판금,"Sewoo Precision Sheet Metal Co.,Ltd",28123,20250507,20260406,감사보고서 (2025.12),20260406004532,
01960736,태강메탈,Taekangmetal Corp.,46791,20251017,,,,
01920880,가온메탈,"GAONMETAL Co.,Ltd.",46721,20250507,20260309,감사보고서 (2025.12),20260309001589,
01591989,현대아이엠씨,HYUNDAI IMC  CO. LTD.,24111,20250911,20260401,감사보고서 (2025.12),20260401001152,
01895991,에이치디현대엠엔에스,"HD HYUNDAI MARINE&STRUCTURE CO.,LTD.",31114,20260423,,,,
01914339,경우정밀,"KyoungWoo Precision Co., Ltd",25913,20250429,20260401,감사보고서 (2025.12),20260401002983,
00652016,디비메탈,"DB Metal Co., Ltd.",24113,20250731,,,,
01925098,리캠스,LEECHEMS CO. LTD,4673,20250430,20260331,감사보고서 (2025.12),20260331003819,
01928785,한국샨진옵토일렉트로닉스," Korea Shanjin Optoelectronics Co.,Ltd",46499,20250514,20260408,감사보고서 (2025.12),20260408002967,
